title	genre	north_america_release	source_page
Astro Aqua Kitty	Shooter	Apr 15, 2021	List_of_PlayStation_Vita_games_(A–D)
Atari Flashback Classics	Compilation	Dec 19, 2018	List_of_PlayStation_Vita_games_(A–D)
Atelier Ayesha Plus: The Alchemist of Dusk	Role-playing	Jan 13, 2015	List_of_PlayStation_Vita_games_(A–D)
Atelier Escha & Logy Plus: Alchemists of the Dusk Sky	Role-playing	Jan 19, 2016	List_of_PlayStation_Vita_games_(A–D)
Atelier Firis: The Alchemist and the Mysterious Journey	Role-playing	Mar 7, 2017	List_of_PlayStation_Vita_games_(A–D)
Atelier Meruru Plus: The Apprentice of Arland	Role-playing	Sep 3, 2013	List_of_PlayStation_Vita_games_(A–D)
Atelier Rorona Plus: The Alchemist of Arland	Role-playing	Jul 22, 2014	List_of_PlayStation_Vita_games_(A–D)
Atelier Shallie Plus: Alchemists of the Dusk Sea	Role-playing	Jan 17, 2017	List_of_PlayStation_Vita_games_(A–D)
Atelier Sophie: The Alchemist of the Mysterious Book	Role-playing	Jun 7, 2016	List_of_PlayStation_Vita_games_(A–D)
Atelier Totori Plus: The Adventurer of Arland	Role-playing	Mar 19, 2013	List_of_PlayStation_Vita_games_(A–D)
Atomic Ninjas	Platform	Oct 8, 2013	List_of_PlayStation_Vita_games_(A–D)
Attack of the Toy Tanks	Shooter	Jun 26, 2019	List_of_PlayStation_Vita_games_(A–D)
Attack on Titan	Action	Aug 30, 2016	List_of_PlayStation_Vita_games_(A–D)
Attack on Titan 2	Action	Mar 20, 2018	List_of_PlayStation_Vita_games_(A–D)
Attractio	Puzzle-platform	Jun 14, 2016	List_of_PlayStation_Vita_games_(A–D)
Awesome Pea	Platform	Mar 1, 2019	List_of_PlayStation_Vita_games_(A–D)
Awesome Pea 2	Platform	Jul 14, 2020	List_of_PlayStation_Vita_games_(A–D)
Axiom Verge	Metroidvania	Apr 19, 2016	List_of_PlayStation_Vita_games_(A–D)
Azkend 2: The World Beneath	Puzzle	May 3, 2016	List_of_PlayStation_Vita_games_(A–D)
Back in 1995	Survival horror	May 21, 2019	List_of_PlayStation_Vita_games_(A–D)
Back to Bed	Puzzle	Aug 25, 2015	List_of_PlayStation_Vita_games_(A–D)
Backgammon Blitz	Sports	Apr 15, 2014	List_of_PlayStation_Vita_games_(A–D)
Bad Apple Wars	Otome game	Oct 13, 2017	List_of_PlayStation_Vita_games_(A–D)
Badland: Game of the Year Edition	Platform	May 26, 2015	List_of_PlayStation_Vita_games_(A–D)
Balthazar's Dream	Puzzle-platform	Jan 29, 2020	List_of_PlayStation_Vita_games_(A–D)
Bard's Gold	Platform	Jun 17, 2016	List_of_PlayStation_Vita_games_(A–D)
Baseball Riot	Action	Jan 19, 2016	List_of_PlayStation_Vita_games_(A–D)
Bastion	Action role-playing	Dec 5, 2015	List_of_PlayStation_Vita_games_(A–D)
Batman: Arkham Origins Blackgate	Action-adventure	Oct 25, 2013	List_of_PlayStation_Vita_games_(A–D)
Battalion Commander	Shooter	Dec 1, 2016	List_of_PlayStation_Vita_games_(A–D)
Battle Rockets	Shooter, Fighting	Mar 31, 2020	List_of_PlayStation_Vita_games_(A–D)
Ben 10: Galactic Racing	Racing	Feb 22, 2012	List_of_PlayStation_Vita_games_(A–D)
Bentley's Hackpack	Arcade	Feb 5, 2013	List_of_PlayStation_Vita_games_(A–D)
Berserk and the Band of the Hawk	Action	Feb 21, 2017	List_of_PlayStation_Vita_games_(A–D)
Best of Arcade Games	Arcade	Jan 20, 2015	List_of_PlayStation_Vita_games_(A–D)
Best of Board Games	Arcade	Oct 14, 2014	List_of_PlayStation_Vita_games_(A–D)
Big Dipper	Visual novel	Jul 27, 2020	List_of_PlayStation_Vita_games_(A–D)
Big Sky: Infinity	Shooter	Dec 11, 2012	List_of_PlayStation_Vita_games_(A–D)
BigFest	Simulation	Dec 1, 2015	List_of_PlayStation_Vita_games_(A–D)
Bit Dungeon Plus	Roguelike	Mar 27, 2018	List_of_PlayStation_Vita_games_(A–D)
Bit.Trip	Platform	Dec 5, 2015	List_of_PlayStation_Vita_games_(A–D)
Bit.Trip Presents... Runner2: Future Legend of Rhythm Alien	Platform	Dec 17, 2013	List_of_PlayStation_Vita_games_(A–D)
Blast 'Em Bunnies	Shooter	Mar 8, 2016	List_of_PlayStation_Vita_games_(A–D)
Blasting Agent: Ultimate Edition	Platform	Jun 20, 2017	List_of_PlayStation_Vita_games_(A–D)
BlazBlue: Chrono Phantasma	Fighting	Jun 24, 2014	List_of_PlayStation_Vita_games_(A–D)
BlazBlue: Chrono Phantasma Extend	Fighting	Jul 28, 2015	List_of_PlayStation_Vita_games_(A–D)
BlazBlue: Continuum Shift Extend	Fighting	Feb 14, 2012	List_of_PlayStation_Vita_games_(A–D)
Blind Men	Visual novel	Apr 14, 2020	List_of_PlayStation_Vita_games_(A–D)
Block-a-Pix Deluxe	Puzzle	Mar 26, 2019	List_of_PlayStation_Vita_games_(A–D)
Bloodstained: Curse of the Moon	Metroidvania	May 24, 2018	List_of_PlayStation_Vita_games_(A–D)
Bloxiq	Puzzle	Apr 14, 2015	List_of_PlayStation_Vita_games_(A–D)
Blue-Collar Astronaut	Action	Mar 14, 2017	List_of_PlayStation_Vita_games_(A–D)
Bodycheck	Sports	Sep 12, 2017	List_of_PlayStation_Vita_games_(A–D)
Bombing Busters	Action	Dec 7, 2015	List_of_PlayStation_Vita_games_(A–D)
Bonds of the Skies	Action role-playing	Mar 5, 2019	List_of_PlayStation_Vita_games_(A–D)
Borderlands 2	First-person shooter	May 13, 2014	List_of_PlayStation_Vita_games_(A–D)
Boss!	Action	Dec 9, 2014	List_of_PlayStation_Vita_games_(A–D)
Bouncy Bullets	Action	Jul 9, 2019	List_of_PlayStation_Vita_games_(A–D)
Breach & Clear	Turn-based strategy	May 12, 2015	List_of_PlayStation_Vita_games_(A–D)
BreakQuest: Extra Evolution	Action	Aug 13, 2013	List_of_PlayStation_Vita_games_(A–D)
Breeder Homegrown: Director's Cut	Adventure	Mar 6, 2019	List_of_PlayStation_Vita_games_(A–D)
Bridge Constructor	Simulation	Feb 14, 2017	List_of_PlayStation_Vita_games_(A–D)
Broken Age: The Complete Adventure	Adventure	Apr 28, 2015	List_of_PlayStation_Vita_games_(A–D)
Broken Sword 5: The Serpent's Curse, Episode 1	Adventure	May 6, 2014	List_of_PlayStation_Vita_games_(A–D)
Broken Sword 5: The Serpent's Curse, Episode 2	Adventure	Dec 23, 2014	List_of_PlayStation_Vita_games_(A–D)
Brotherhood United	Platform	Jul 20, 2021	List_of_PlayStation_Vita_games_(A–D)
Bucket Knight	Platform	Feb 28, 2020	List_of_PlayStation_Vita_games_(A–D)
Bunny Must Die! Chelsea and the 7 Devils	Platform	Apr 5, 2018	List_of_PlayStation_Vita_games_(A–D)
Burly Men at Sea	Adventure	Sep 19, 2017	List_of_PlayStation_Vita_games_(A–D)
Burn the Rope	Puzzle	Dec 18, 2012	List_of_PlayStation_Vita_games_(A–D)
Call of Duty: Black Ops: Declassified	First-person shooter	Nov 13, 2012	List_of_PlayStation_Vita_games_(A–D)
Castle Invasion: Throne Out	Tower defense	Oct 11, 2016	List_of_PlayStation_Vita_games_(A–D)
CastleStorm	Tower defense	Nov 5, 2013	List_of_PlayStation_Vita_games_(A–D)
Cel Damage HD	Vehicular combat	Apr 22, 2014	List_of_PlayStation_Vita_games_(A–D)
Chaos Rings	Role-playing	Jul 24, 2013	List_of_PlayStation_Vita_games_(A–D)
Chaos;Child	Visual novel	Oct 13, 2017	List_of_PlayStation_Vita_games_(A–D)
Chasm	Platform	Jul 31, 2018	List_of_PlayStation_Vita_games_(A–D)
Chicken Range	Shooter	Oct 26, 2018	List_of_PlayStation_Vita_games_(A–D)
Child of Light	Role-playing	Jul 1, 2014	List_of_PlayStation_Vita_games_(A–D)
Chronovolt	Puzzle-platform	Dec 31, 2012	List_of_PlayStation_Vita_games_(A–D)
Chronus Arc	Role-playing	Mar 1, 2019	List_of_PlayStation_Vita_games_(A–D)
Citizens of Earth	Role-playing	Jan 20, 2015	List_of_PlayStation_Vita_games_(A–D)
Civilization Revolution 2 Plus	Strategy	Mar 29, 2016	List_of_PlayStation_Vita_games_(A–D)
Cladun Returns: This is Sengoku	Action role-playing	Jun 6, 2017	List_of_PlayStation_Vita_games_(A–D)
Claire: Extended Cut	Survival horror	Aug 30, 2016	List_of_PlayStation_Vita_games_(A–D)
Cliff Diving	Arcade	Feb 21, 2012	List_of_PlayStation_Vita_games_(A–D)
Coconut Dodge Revitalised	Puzzle	Jul 9, 2013	List_of_PlayStation_Vita_games_(A–D)
Code: Realize − Future Blessings	Otome game	Mar 30, 2018	List_of_PlayStation_Vita_games_(A–D)
Code: Realize − Guardian of Rebirth	Otome game	Oct 20, 2015	List_of_PlayStation_Vita_games_(A–D)
Collar × Malice	Otome game	Jul 28, 2017	List_of_PlayStation_Vita_games_(A–D)
Color Guardians	Action	May 12, 2015	List_of_PlayStation_Vita_games_(A–D)
Color Slayer	Action	Sep 24, 2019	List_of_PlayStation_Vita_games_(A–D)
Colors!	Application	Nov 13, 2012	List_of_PlayStation_Vita_games_(A–D)
Conception II: Children of the Seven Stars	Role-playing	Apr 15, 2014	List_of_PlayStation_Vita_games_(A–D)
Conga Master Go!	Rhythm	Jul 24, 2019	List_of_PlayStation_Vita_games_(A–D)
Contraptions	Action	Oct 28, 2020	List_of_PlayStation_Vita_games_(A–D)
Corpse Party: Blood Drive	Adventure	Oct 13, 2015	List_of_PlayStation_Vita_games_(A–D)
Corridor Z	Endless runner	May 3, 2016	List_of_PlayStation_Vita_games_(A–D)
Cosmic Star Heroine	Role-playing	Apr 24, 2018	List_of_PlayStation_Vita_games_(A–D)
Cosmophony	Rail shooter	May 5, 2015	List_of_PlayStation_Vita_games_(A–D)
CounterSpy	Action	Aug 19, 2014	List_of_PlayStation_Vita_games_(A–D)
Crazy Market	Puzzle	Oct 29, 2013	List_of_PlayStation_Vita_games_(A–D)
Criminal Girls 2: Party Favors	Role-playing	Sep 20, 2016	List_of_PlayStation_Vita_games_(A–D)
Criminal Girls: Invite Only	Role-playing	Feb 3, 2015	List_of_PlayStation_Vita_games_(A–D)
Crimsonland	Shooter	Aug 19, 2014	List_of_PlayStation_Vita_games_(A–D)
Croixleur Sigma	Hack and slash	Mar 1, 2016	List_of_PlayStation_Vita_games_(A–D)
Crossovers By POWGI	Puzzle	Apr 17, 2019	List_of_PlayStation_Vita_games_(A–D)
Crypt of the NecroDancer	Roguelike rhythm	Feb 2, 2016	List_of_PlayStation_Vita_games_(A–D)
Crypto by POWGI	Puzzle	Jul 7, 2020	List_of_PlayStation_Vita_games_(A–D)
Curses 'N Chaos	Beat 'em up	Aug 18, 2015	List_of_PlayStation_Vita_games_(A–D)
Cybarian: The Time Travelling Warrior	Platform	Jun 18, 2019	List_of_PlayStation_Vita_games_(A–D)
Daggerhood	Platform	Feb 19, 2019	List_of_PlayStation_Vita_games_(A–D)
Damascus Gear: Operation Osaka	Action role-playing	Mar 7, 2018	List_of_PlayStation_Vita_games_(A–D)
Damascus Gear: Operation Tokyo	Action role-playing	Mar 24, 2015	List_of_PlayStation_Vita_games_(A–D)
Danganronpa 2: Goodbye Despair .mw-parser-output .citation{word-wrap:break-word}.mw-parser-output .citation:target{background-color:rgba(0,127,255,0.133)}	Adventure	Sep 2, 2014	List_of_PlayStation_Vita_games_(A–D)
Danganronpa Another Episode: Ultra Despair Girls	Action-adventure	Sep 1, 2015	List_of_PlayStation_Vita_games_(A–D)
Danganronpa V3: Killing Harmony	Adventure	Sep 26, 2017	List_of_PlayStation_Vita_games_(A–D)
Danganronpa: Trigger Happy Havoc	Adventure	Feb 11, 2014	List_of_PlayStation_Vita_games_(A–D)
DariusBurst: Chronicle Saviours	Shoot 'em up	Nov 30, 2015	List_of_PlayStation_Vita_games_(A–D)
Darkest Dungeon	Role-playing	Sep 27, 2016	List_of_PlayStation_Vita_games_(A–D)
Day D Tower Rush	Real-time strategy	Aug 26, 2014	List_of_PlayStation_Vita_games_(A–D)
Day of the Tentacle Remastered	Adventure	Mar 22, 2016	List_of_PlayStation_Vita_games_(A–D)
Dead Ahead: Zombie Warfare	Survival horror	May 8, 2018	List_of_PlayStation_Vita_games_(A–D)
Dead Nation	Action	Apr 15, 2014	List_of_PlayStation_Vita_games_(A–D)
Dead or Alive 5 Plus	Fighting	Mar 22, 2013	List_of_PlayStation_Vita_games_(A–D)
Deadbolt	Roguelike	Feb 20, 2018	List_of_PlayStation_Vita_games_(A–D)
Deadman's Cross	Role-playing	Feb 17, 2015	List_of_PlayStation_Vita_games_(A–D)
Death Mark	Adventure	Oct 31, 2018	List_of_PlayStation_Vita_games_(A–D)
Deathmatch Village	Multiplayer online battle arena	Sep 2, 2014	List_of_PlayStation_Vita_games_(A–D)
Deception IV: Blood Ties	Action	Mar 25, 2014	List_of_PlayStation_Vita_games_(A–D)
Deception IV: The Nightmare Princess	Action	Jul 14, 2015	List_of_PlayStation_Vita_games_(A–D)
Deemo: The Last Recital	Rhythm	May 16, 2017	List_of_PlayStation_Vita_games_(A–D)
Deep Ones	Platform	Apr 11, 2018	List_of_PlayStation_Vita_games_(A–D)
Deep Space Rush	Shooter	Oct 25, 2019	List_of_PlayStation_Vita_games_(A–D)
Defender's Quest	Tower defense role-playing	May 29, 2018	List_of_PlayStation_Vita_games_(A–D)
Delta Strike: First Assault	Shooter	May 31, 2016	List_of_PlayStation_Vita_games_(A–D)
Demetrios	Adventure	Dec 6, 2016	List_of_PlayStation_Vita_games_(A–D)
Demon Gaze	Dungeon crawler	Apr 22, 2014	List_of_PlayStation_Vita_games_(A–D)
Demon Gaze II	Dungeon crawler	Nov 14, 2017	List_of_PlayStation_Vita_games_(A–D)
Demon Rush, The: Legends Corrupt	Role-playing	Jun 30, 2020	List_of_PlayStation_Vita_games_(A–D)
Demon's Tier+	Dungeon crawler	Jun 9, 2020	List_of_PlayStation_Vita_games_(A–D)
Dengeki Bunko: Fighting Climax	Fighting	Oct 6, 2015	List_of_PlayStation_Vita_games_(A–D)
Desert Ashes	Tower defense	Feb 24, 2015	List_of_PlayStation_Vita_games_(A–D)
Destiny of Spirits	Strategy role-playing	Mar 25, 2014	List_of_PlayStation_Vita_games_(A–D)
Devious Dungeon	Platform	Apr 25, 2018	List_of_PlayStation_Vita_games_(A–D)
Devious Dungeon 2	Platform	May 14, 2019	List_of_PlayStation_Vita_games_(A–D)
Dex	Action role-playing	Dec 20, 2016	List_of_PlayStation_Vita_games_(A–D)
Die! Die! Die!	Tower defense	Oct 1, 2013	List_of_PlayStation_Vita_games_(A–D)
Digimon Story: Cyber Sleuth	Role-playing	Feb 2, 2016	List_of_PlayStation_Vita_games_(A–D)
Digimon Story: Cyber Sleuth – Hacker's Memory	Role-playing	Jan 19, 2018	List_of_PlayStation_Vita_games_(A–D)
Dino Dini's Kick Off Revival	Sports	Mar 7, 2017	List_of_PlayStation_Vita_games_(A–D)
Disgaea 3: Absence of Detention	Tactical role-playing	Apr 17, 2012	List_of_PlayStation_Vita_games_(A–D)
Disgaea 4: A Promise Revisited	Tactical role-playing	Aug 12, 2014	List_of_PlayStation_Vita_games_(A–D)
Disney Infinity: Marvel Super Heroes	Action-adventure	May 9, 2015	List_of_PlayStation_Vita_games_(A–D)
DISTRAINT: Deluxe Edition	Adventure	Sep 10, 2019	List_of_PlayStation_Vita_games_(A–D)
Divekick	Fighting	Aug 20, 2013	List_of_PlayStation_Vita_games_(A–D)
DJMax Technika Tune	Rhythm	Dec 4, 2012	List_of_PlayStation_Vita_games_(A–D)
Doctor Who: The Eternity Clock	Adventure, puzzle	Oct 9, 2012	List_of_PlayStation_Vita_games_(A–D)
Doki-Doki Universe	Adventure	Dec 10, 2013	List_of_PlayStation_Vita_games_(A–D)
Dokuro	Puzzle-platform	Oct 15, 2012	List_of_PlayStation_Vita_games_(A–D)
Don't Die, Mr. Robot!	Action	Nov 4, 2014	List_of_PlayStation_Vita_games_(A–D)
Don't Starve: Giant Edition	Action-adventure	Sep 2, 2014	List_of_PlayStation_Vita_games_(A–D)
Doodle Devil	Puzzle	Jan 14, 2014	List_of_PlayStation_Vita_games_(A–D)
Doodle God	Puzzle	Jul 16, 2013	List_of_PlayStation_Vita_games_(A–D)
Doodle Kingdom	Puzzle	Mar 31, 2015	List_of_PlayStation_Vita_games_(A–D)
Downwell	Roguelike	May 24, 2016	List_of_PlayStation_Vita_games_(A–D)
Dragon Ball Z: Battle of Z	Fighting	Jan 28, 2014	List_of_PlayStation_Vita_games_(A–D)
Dragon Fantasy Book I • Dragon Fantasy: The Volumes of Westeria	Role-playing	Apr 16, 2013	List_of_PlayStation_Vita_games_(A–D)
Dragon Fantasy Book II	Role-playing	Sep 10, 2013	List_of_PlayStation_Vita_games_(A–D)
Dragon Fin Soup	Roguelike	Nov 6, 2015	List_of_PlayStation_Vita_games_(A–D)
Dragon Quest Builders	Sandbox, role-playing	Oct 11, 2016	List_of_PlayStation_Vita_games_(A–D)
Dragon Sinker	Role-playing	Feb 6, 2018	List_of_PlayStation_Vita_games_(A–D)
Dragon's Crown	Action role-playing	Aug 6, 2013	List_of_PlayStation_Vita_games_(A–D)
Dragonfly Chronicles	Platform	Dec 11, 2018	List_of_PlayStation_Vita_games_(A–D)
Dragooned	Platform	Apr 17, 2018	List_of_PlayStation_Vita_games_(A–D)
Draw Slasher	Action	Apr 23, 2013	List_of_PlayStation_Vita_games_(A–D)
Dreamlands, The: Aisling's Quest	Adventure	Aug 7, 2018	List_of_PlayStation_Vita_games_(A–D)
Dreamwalker	Puzzle	Dec 18, 2018	List_of_PlayStation_Vita_games_(A–D)
Dreii	Puzzle	Mar 8, 2016	List_of_PlayStation_Vita_games_(A–D)
Drive Girls	Action	Sep 8, 2017	List_of_PlayStation_Vita_games_(A–D)
Drowning	Adventure	Jan 30, 2019	List_of_PlayStation_Vita_games_(A–D)
Duck Souls+	Adventure	Mar 24, 2020	List_of_PlayStation_Vita_games_(A–D)
Duke Nukem 3D: Megaton Edition	First-person shooter	Jan 6, 2015	List_of_PlayStation_Vita_games_(A–D)
Dull Grey	Visual novel	May 5, 2021	List_of_PlayStation_Vita_games_(A–D)
Dungeon Hunter: Alliance	Action role-playing	Feb 15, 2012	List_of_PlayStation_Vita_games_(A–D)
Dungeon Punks	Action role-playing	Aug 16, 2016	List_of_PlayStation_Vita_games_(A–D)
Dungeon Travelers 2: The Royal Library & the Monster Seal	Dungeon crawler	Aug 18, 2015	List_of_PlayStation_Vita_games_(A–D)
Dustforce	Platform	Feb 4, 2014	List_of_PlayStation_Vita_games_(A–D)
Dying: Reborn	Puzzle	Mar 14, 2017	List_of_PlayStation_Vita_games_(A–D)
Dynasty Warriors 8: Empires	Action	Nov 24, 2015	List_of_PlayStation_Vita_games_(A–D)
Dynasty Warriors 8: Xtreme Legends Complete Edition	Action	Mar 25, 2014	List_of_PlayStation_Vita_games_(A–D)
Dynasty Warriors Next	Action	Feb 15, 2012	List_of_PlayStation_Vita_games_(A–D)
Dynasty Warriors: Godseekers	Strategy role-playing	Jan 31, 2017	List_of_PlayStation_Vita_games_(A–D)
Earth Defense Force 2: Invaders from Planet Space	Third-person shooter	Dec 8, 2015	List_of_PlayStation_Vita_games_(E–H)
Earth Defense Force 2017 Portable	Third-person shooter	Jan 8, 2013	List_of_PlayStation_Vita_games_(E–H)
Ecolibrium	Life simulation	Feb 12, 2013	List_of_PlayStation_Vita_games_(E–H)
Element4l	Platform	Apr 7, 2015	List_of_PlayStation_Vita_games_(E–H)
Emerald Shores	Platform	Dec 4, 2018	List_of_PlayStation_Vita_games_(E–H)
EMMA: Lost in Memories	Platform	May 8, 2020	List_of_PlayStation_Vita_games_(E–H)
Energy Balance	Puzzle	Jul 12, 2017	List_of_PlayStation_Vita_games_(E–H)
Energy Cycle	Puzzle	Jul 7, 2017	List_of_PlayStation_Vita_games_(E–H)
Energy Cycle Edge	Puzzle	Dec 4, 2018	List_of_PlayStation_Vita_games_(E–H)
Energy Invasion	Puzzle	Jan 10, 2018	List_of_PlayStation_Vita_games_(E–H)
Entwined	Rhythm	Jul 22, 2014	List_of_PlayStation_Vita_games_(E–H)
Epic Mickey 2: The Power of Two	Platform	Jun 21, 2013	List_of_PlayStation_Vita_games_(E–H)
Epic Word Search Collection	Puzzle	Mar 17, 2020	List_of_PlayStation_Vita_games_(E–H)
Epic Word Search Collection 2	Puzzle	Jul 21, 2020	List_of_PlayStation_Vita_games_(E–H)
Escape Plan	Puzzle	Feb 15, 2012	List_of_PlayStation_Vita_games_(E–H)
escapeVektor	Action	Jan 22, 2013	List_of_PlayStation_Vita_games_(E–H)
Ethan: Meteor Hunter	Platform	Apr 15, 2014	List_of_PlayStation_Vita_games_(E–H)
Eufloria HD	Real-time strategy	Dec 17, 2013	List_of_PlayStation_Vita_games_(E–H)
Exile's End	Platform	Oct 25, 2016	List_of_PlayStation_Vita_games_(E–H)
Exist Archive: The Other Side of the Sky	Role-playing	Oct 18, 2016	List_of_PlayStation_Vita_games_(E–H)
Explosive Jake	Puzzle	Mar 18, 2020	List_of_PlayStation_Vita_games_(E–H)
F1 2011	Racing	Feb 15, 2012	List_of_PlayStation_Vita_games_(E–H)
Factotum 90	Puzzle	Sep 19, 2017	List_of_PlayStation_Vita_games_(E–H)
Fairune	Action role-playing	Apr 2, 2017	List_of_PlayStation_Vita_games_(E–H)
Fallen Legion: Flames of Rebellion	Role-playing	Jul 18, 2017	List_of_PlayStation_Vita_games_(E–H)
Fantasy Hero: Unsigned Legacy	Action role-playing	Dec 2, 2014	List_of_PlayStation_Vita_games_(E–H)
Farming Simulator	Simulation	Jul 2, 2013	List_of_PlayStation_Vita_games_(E–H)
Farming Simulator 14	Simulation	Jun 24, 2014	List_of_PlayStation_Vita_games_(E–H)
Farming Simulator 16	Simulation	Oct 6, 2015	List_of_PlayStation_Vita_games_(E–H)
Farming Simulator 18	Simulation	Jun 6, 2017	List_of_PlayStation_Vita_games_(E–H)
Fast Striker	Shooter	Oct 16, 2018	List_of_PlayStation_Vita_games_(E–H)
Fat City	Puzzle	Sep 8, 2015	List_of_PlayStation_Vita_games_(E–H)
Fat Princess: Piece of Cake	Puzzle	Jan 13, 2015	List_of_PlayStation_Vita_games_(E–H)
Fate/Extella Link	Action	Mar 19, 2019	List_of_PlayStation_Vita_games_(E–H)
Fate/Extella: The Umbral Star	Action	Jan 17, 2017	List_of_PlayStation_Vita_games_(E–H)
Fernz Gate	Role-playing	Aug 28, 2018	List_of_PlayStation_Vita_games_(E–H)
Fez	Puzzle	Mar 25, 2014	List_of_PlayStation_Vita_games_(E–H)
